symbol,last_bar_date,report_start_date,primary_fill_mode,stance,position,last_signal_action,last_signal_date,current_price,entry_date,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity_live,cash_live,shares_live,total_return_pct_live,annualized_return_pct_live,alpha_over_buy_hold_pct_live,max_drawdown_pct_live,time_in_market_pct_live,total_closed_trades_live,win_pct_long_live,total_return_pct_backtest_style,annualized_return_pct_backtest_style,alpha_over_buy_hold_pct_backtest_style,max_drawdown_pct_backtest_style,time_in_market_pct_backtest_style,total_closed_trades_backtest_style,win_pct_long_backtest_style,last_q_hold,last_q_long,last_q_close,last_q_hold_masked,last_q_long_masked,last_q_close_masked,overwatch_enabled,overwatch_override_count,overwatch_override_pct,overwatch_review_count,saved_model_last_trained_date,saved_model_timestamp_utc
IBM,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,222.3300018310547,2026-04-29,228.65708923339844,14,-2.7670637387872277,-2767063.73878724,0.0,97232936.26121277,0.0,437336.1015626611,-2.767063738787234,-17.83368576910007,5.1288713069009635,6.882106027845239,41.66666666666667,0.0,0.0,-2.767063738787234,-17.83368576910007,5.1288713069009635,6.882106027845239,38.88888888888889,1.0,0.0,-0.016133666038513184,-0.07401686906814575,-0.07608968019485474,-0.016133666038513184,-1000000000.0,-0.07608968019485474,False,0,0.0,0,2025-08-18,2026-05-14 13:13:59
INTC,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,110.80000305175781,2026-04-24,82.19999694824219,17,34.7931960648654,46235609.083001085,32886927.07850951,179122536.1615106,0.0,1616629.3432125393,79.12253616151058,4222.5492060412225,-55.72274220870329,16.432326847405044,71.7948717948718,1.0,100.0,79.12253616151058,4222.5492060412225,-55.72274220870329,16.432326847405044,69.23076923076923,2.0,100.0,-4.478723526000977,-4.2394561767578125,-6.372087478637695,-4.478723526000977,-1000000000.0,-6.372087478637695,False,0,0.0,0,2025-08-21,2026-05-14 13:55:41
JPM,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,295.70001220703125,,,0,0.0,0.0,-3608435.1686402266,96391564.83135976,96391564.83135976,0.0,-3.608435168640241,-21.138037015220192,-3.7032150638978627,5.42711866279315,51.28205128205128,2.0,50.0,-3.608435168640241,-21.138037015220192,-3.7032150638978627,5.42711866279315,51.28205128205128,2.0,50.0,0.16441889107227325,0.16810452938079834,0.16664338111877441,0.16441889107227325,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 15:32:56
KO,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,81.91999816894531,,,0,0.0,0.0,7642884.1304958295,107642884.13049585,107642884.13049585,0.0,7.642884130495846,60.9438592696327,-1.2209008116241704,4.2509215592342535,79.48717948717949,3.0,100.0,7.642884130495846,60.9438592696327,-1.2209008116241704,4.2509215592342535,79.48717948717949,3.0,100.0,0.30637818574905396,0.3026503920555115,0.3030291199684143,0.30637818574905396,0.3026503920555115,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 16:21:28
LIN,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,506.07000732421875,2026-05-19,508.7099914550781,0,-0.5189566108792448,-540851.4967002998,4219020.504230261,103678169.00752997,0.0,204869.22265106204,3.6781690075299736,26.288618899637118,0.889443515298113,3.4439542511778063,87.17948717948718,1.0,100.0,3.6781690075299736,26.288618899637118,0.889443515298113,3.4439542511778063,84.61538461538461,2.0,50.0,0.5405963063240051,0.5845154523849487,0.5132935047149658,0.5405963063240051,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 16:40:14
LLY,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,1021.4099731445312,2026-05-11,949.0,6,7.630134156431104,8351605.281942414,9455549.676059172,117807154.95800158,0.0,115337.77626560503,17.807154958001583,188.32245654390917,6.337240205792755,9.442849399122148,92.3076923076923,2.0,100.0,17.807154958001583,188.32245654390917,6.337240205792755,9.442849399122148,89.74358974358975,3.0,100.0,0.2294836938381195,0.23323118686676025,0.2343086302280426,0.2294836938381195,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 17:28:50
LRCX,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,273.3800048828125,2026-05-12,287.2149963378906,5,-4.816946061828215,-6151649.373319215,27708496.096059814,121556846.72274059,0.0,444644.2481221234,21.55684672274059,253.02504691817518,4.452538109953105,8.614403991125979,66.66666666666666,1.0,100.0,21.55684672274059,253.02504691817518,4.452538109953105,8.614403991125979,64.1025641025641,2.0,50.0,0.15631726384162903,0.15802183747291565,0.166477769613266,0.15631726384162903,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-20,2026-05-14 18:10:48
MCD,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,280.79998779296875,,,0,0.0,0.0,-6500406.180862829,93499593.81913717,93499593.81913717,0.0,-6.5004061808628295,-35.22820833677333,3.412979511768684,6.834532303587197,61.53846153846154,1.0,0.0,-6.5004061808628295,-35.22820833677333,3.412979511768684,6.834532303587197,61.53846153846154,1.0,0.0,0.31674909591674805,0.3100024461746216,0.3139532804489136,0.31674909591674805,0.3100024461746216,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 18:59:31
META,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,602.6099853515625,,,0,0.0,0.0,5719406.408307344,105719406.40830734,105719406.40830734,0.0,5.719406408307344,43.244061522041676,4.421692459000721,11.590297595034851,58.97435897435898,1.0,100.0,5.719406408307344,43.244061522041676,4.421692459000721,11.590297595034851,58.97435897435898,1.0,100.0,0.6330824494361877,0.5884546041488647,0.5473664999008179,0.6330824494361877,0.5884546041488647,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 20:07:56
MPC,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,262.0199890136719,2026-05-11,248.85000610351562,6,5.292337788682955,5292337.788682976,0.0,105292337.78868298,0.0,401848.49325823365,5.292337788682983,39.54606039929103,-3.316984082269102,1.449615203285246,17.94871794871795,0.0,0.0,5.292337788682983,39.54606039929103,-3.316984082269102,1.449615203285246,15.384615384615385,1.0,100.0,0.246979221701622,0.24422027170658112,0.2496734857559204,0.246979221701622,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-14 20:51:40
